item_id,txt,tag_score
2571,"Plain and simply brilliant.; If I would have commented on this flick after the first time that I watched it then I probably would have only rated it 8 or possibly 9. It is so true that to fully appreciate this film you have to watch it 3 maybe even four times. I thought this film film was brilliantly original, clever, atmospheric and well thought out. It's especially interesting to see how much effort and skill went into making it. The actors for example, took 4/5 months just to learn the martial art skills necessary for the Morpheus/Neo fight simulation. The cast is great (especially Trinity in that sexy cat suit, wow!, she has a lovely ass!). The direction is superb and I just cannot find a fault with this masterpiece, apart from at the end, where it becomes a bit corny in that in order for Neo to become 'The One', Trinity must confess her love for him. Rather corny but after all, this is the one thing that the machines which have taken over cannot feel or relate to, feelings such as love or compassion. Subsequently it is this, that leads to their downfall as Neo wakes up and kicks Agent Smith's ass!. A must watch for any viewer & one of only a few films I will give full marks to. Rating 10/10. Master Class.",0.0
8874,"Cool zombie comedy; Shaun of The Dead is pretty mediocre flick in the beginning. I've seen so much of standard British sitcom humor, that it failed to impress. But once the zombies started causing havoc, the film became really funny and entertaining. It was cool to see the film not shying away from all the gore. Good throwback to the old days, when horror movies had some guts! It's pretty well directed with some cool camera angels and stuff like that. And I really liked the actors. Especially Shaun and Ed were really good. The first 20-30 minutes are kinda boring, but it's really good after that. I would give the film ***/****.",0.0
3751,"The Future of Film Animation; The animated film industry has been instantly revolutionized with the first full-length feature film, Chicken Run.  From the makers of the nifty little Wallace and Gromit shorts, Chicken Run is a splendid adventure film that is well made in every way. Chicken Run is, in a way, a prison film.  The prisoners are the chickens on a small farm dominated by a sadistic Mrs. Tweedle, who becomes obsessed with making chicken pies for more money. Unlike Disney productions, Chicken Run is not manipulative, and it's characters aren't one-dimensional.  Every line is well written, and the score is excellent.  Although most of the chickens are physically hard to tell apart, the voices are diverse enough for the viewer to tell who's who.  This is simply a terrific film, and it is the history of film animation. O  O  O  O  O  O  O  O ",0.875
6537,"The best thing I can say: It Didn't Suck!; I know that most of us went into the theater with this silent prayer in our minds: ""Please don't suck! PLEASE dont SUCK! PLEASE DON'T SUCK!"" First, the good news: It didn't SUCK! Now, the not so good news: It wasn't great either. The best I can do for this movie is say it was pretty good. If it were a stand alone movie, that would be enough. But since it follows two of the best sci-fi movies ever made, it's a bit of a letdown, but not much. This movie is certainly worth watching in the theaters, if for nothing else than the action sequences. Of which there are some doozies! The chase scene with the crane alone is worth the price of admission! The acting in this movie was well done. Being an action flick, I'm not looking for Oscar worthy performances, but I did start to care about these people. Kristanna Lokken did quite well as the T-X, her performance as such rivals that of Robert Patrick as the T-1000 in T2, and she has a nice butt to boot! Nick Stahl fills in quite well as John Connor, though I still would rather have seen Edward Furlong reprise his role and give the film more of a connection to its predecessors. Claire Danes works well too, though her part seems a bit like a redux of Linda Hamilton's Sarah Connor from the first film, even to the point where John Connor says to her in a scene, ""You remind me of my mother!"". Then of course there's Ah-nuld! what can I say? The man was born to play this part! The only problem I had with this rendition of the T-800 (or T-101 in this film) was that for the first 2/3 of the movie, the script relies so heavily on the amusing one-liners (in their defense, they ARE funny!)that the movie threatens to become a parody of itself. Jonathon Mostow does a good job directing, but I really would have liked to have seen what Cameron would have done with this movie. His absence I think is what stops this movie from being great. The biggest gripe I have with this movie is its ending. While it does set up a possible T4 movie, it is anti-climatic to say the least, and furthermore in contradiction to the theme of T2. I give it a 6.5 out of 10.",0.0
6537,"Definitely inferior, but it's not THAT bad; So yesterday I watched Under Siege 2 and today I watched Terminator 3 for the first time since I saw it in theaters when it was first released. I remember being hugely disappointed when I first saw it, but I noticed that I enjoyed it much more the second time around. It's better than I thought the first time I saw it, but it should be noted that there is no arguing with the fact that, even though it does a good job of furthering the Terminator story, director Jonathan Mostow is just not taking it very seriously. That becomes clear almost immediately, as the Terminator walks into a bar during ladies night and has a run-in with a gay dancer, ultimately walking out of the bar clad in leather and putting on a purple pair of glittery star-shaped sunglasses. The entire movie became one of those rare theater experiences where everyone is laughing out loud and making jokes about the movie but nonetheless enjoying it, and no one seems to mind all the talking and giggling. It's immediately clear that Arnold is just not the same guy he was only ten years earlier. For some reason, he seems a lot more than ten years older here than he was in Judgement Day, and to make matters worse, his English seems to have slipped. His accent is much stronger now than it was before and it affects his performance. It's hard not to laugh out loud when he approaches Claire Dames and says, ""Catherine Broo-stuh?"" In the movie's defense, I loved the addition that it made to the Terminator story. We are given believable reasons for why there are still terminators even after the only chips were destroyed at the end of T2, and the ""rise of the machines"" is also well presented. The biggest problem with the movie is the casting. Claire Dames is good in her role of Catherine Brewster, a key element of the humans resistance against the machines, although she is just a little too recognizable. But Nick Stahl? Are you serious? From the very beginning of the movie, where he is shown as an older man in the future, Stahl is wildly miscast as John Connor. Why didn't they just cast Eddie Furlong again? He's not the same guy he was back in 1992, but I can't imagine anyone else fitting the character as well. And surely he wasn't too busy, unless he was more interested in acting in the disappointing and instantly forgettable crime thriller ""3 Blind Mice"" than making another Terminator film. Such a thing hardly seems possible. The other problem is that Kristannak Loken, who is undeniably beautiful, just doesn't understand the nature of her character, nor does director Jonathan Mostow. In the original film, Reese explained to Sarah Connor that the first Terminators had latex skin and were easy to spot, but the new ones had real organic tissue and looked exactly like normal humans. Nevertheless, every time the Terminatrix is on screen, it's hard not to picture Mostow just off-camera saying, ""Do it again, and this time, try to act more like a machine!"" Wasn't the whole point of the newer and better Terminators to look and act more like humans and not like machines? At any rate, it just comes off as over-acting here. But still, like the new Indiana Jones movie, the entertainment level is high, and there are certainly some good moments, like the Terminator telling John, ""Desire is irrelevant. I am a machine!"" I have a feeling that part 3 is going to be a low point in the series, which I'm not sure when it will end. I am thrilled to know that Christian Bale will take on the role of John Connor in Terminator: Salvation. It looks like the series is heading in exciting new directions",0.0
2571,"Movie of the year; I'll just like to say that this is the best movie EVER All movies after will be compared to this ... I've seen it 6 times already , 5 times at the movies and one time at home.And it still shocks me with special and sound effects",0.0
296,"Truly A Masterpiece of a Film, and the True Work of a Master; Pulp Fiction is a film that cannot be described in mere words. To put it simply, Pulp Fiction is a Masterpiece. Had it not gone up against Forrest Gump in the 1994 Oscars, it would have won so many more awards! Pulp Fiction is my all time favorite movie, and I'll tell you why: 1. The acting is superb. John Travolta revitalized his career with this single motion picture, and truly made a name for himself as an actor. He once would settle for 40,000 a film, but now commands several million. Samuel L. Jackson was possibly the most intense person in Pulp Fiction, and deserved the Oscar for Best Supporting Actor that was wrongfully given away. His final scene in the movie always sends a chill down my spine whenever I watch it. 2. The Screenplay was incredible. Quentin Tarantino and Roger Averys screenplay for Pulp Fiction won the Oscar for Best Original Screenplay, and it deserved it. If you watch the movie, you know that it is a long movie (2.5 hours to be exact) but Tarantinos use of dialouge in the movie keeps the action moving, and it also keeps the viewer interested. No part of the movie is slow paced, and the plot twists and subtleties are incredible. 3. The Cinematography was terrific. Tarantinos use of the camera in Pulp Fiction was just perfect. As many Tarantino fans know, Tarantino got his start working in a Video Rental store. It was there, that he got the chance to view several different formats of filming, and he was able to combine them in his films to create a feeling of involvement with what happens on the screen. 4. And finally, the Music choices were fantastic. For those who have seen Pulp Fiction, you will know about the Guitar Riff at the beginning of the movie that plays during the credits. It is called Misirlou, and was written by Dick Dale and his Del Tones. Misirlou was around 32 years before Pulp Fiction, and will forever be known as ""The Theme From Pulp Fiction"". Tarantino takes old songs and puts them in his films, thereby reintroducing these old songs to a new generation of listeners. Tarantino stamps each of his scenes with a specific song, and the people who watch the movie will associate it with that particular scene. Pulp Fiction is one of the greatest films in creation, and it is a true classic. It is my belief that people will come to appreciate it more with age, just like a fine wine.",0.0
2571,"This movie is one of the greatest.; This is one of the greatest movie's of all time.. At least the 1st one. The rest of the trilogy was still good because it was an entire story. I feel like the 1st Matrix was just so eye opening. The way the writer described the world makes it believe that we are truly living in a Matrix. Since this movie came out I feel like the world has slowly opened their eyes to this idea of an alternate reality. There is no one else that could have played Neo but Mr. Reeve's.. He was talked bad upon because of the way he acts but that's him. If Will Smith would have locked down the role of Neo I don't think I would have liked the movie the same. Morpheus was such a big role for anyone to play. He is the reason why the Matrix exists. Without him finding it and trying to find the one, everyone in the world stays asleep.. I also feel like we are in a Matrix and wish Morpheus would call me to give me a pill. Favorite line from the movie... "" Yeah everyday, it's called mescaline."" I don't know how you can follow up the second and third movie after the first Matrix. It was just so good. The second Matrix ""Reloaded"", had those awesome ghosts. That chases scene on the high way saved the movie for me as far as hype. But the Matrix is the Matrix and you can never take that image of Neo waking up the black screen with the green writing out of your mind. It's burned in there. Thank you for the Matrix. I still watch it till this day all the way through and learn something new.",0.0
296,"The best film of the '90s; Pulp fiction,It is a masterpiece movie created by director ""Quentin Tarantino"",It combines seven narrative sequences,There are three primary story lines are preceded by identifying inter titles on a black screen: 1. ""PrologueThe Diner"" (i) 2. Prelude to ""Vincent Vega and Marsellus Wallace's Wife"" 3. ""Vincent Vega and Marcellus Wallace's Wife"" 4. Prelude to ""The Gold Watch"" (aflashback, bpresent) 5. ""The Gold Watch"" 6.""The Bonnie Situation"" 7.""EpilogueThe Diner"" (ii) By combining all these interrelated story lines it makes an exceptional movies. In my opinion it is the most entertaining movies of all time.",0.0
48385,"Animal House & Porkies is miles above ....; I only walked out on one film in my life. This would have been #2 except that my wife couldn't believe there was nothing more after the rave reviews we read. I usually bust a gut at a funny movie, but all I got were a couple of chuckles. People are talking about a second level of humor; I couldn't find the first! The level of ""humor"" here is below rock bottom. Animal House & Porkies is miles above the level of ""humor"" in this piece of crap. I can't believe I spent $20 for this! That is all I have to say about it, but it seems I have to add more words to get my review on the site. I guess that is the same premise that Borat was working with.",0.0
2571,"What is real and what is imagined; I saw ""The Matrix"" on opening day and again three days later.  Any good movie, especially one as complex in message, plot and visuals, should be viewed more than once. I was intrigued by the previews for this film the first time I saw them. They filled me with a lot of questions, mainly, what in the world is this about?  All of my questions were answered. ""The Matrix"" is one wild ride that makes a person question what is real and what is the intangible construct of our imagination.  How much of what we see and experience is the truth, and how much is only our perception of the data we are bombarded by and required to process every day? The script was beautifully constructed, the dialog just what was necessary to relay plot and character.  The performances were a joy to watch, easily allowing the viewer to suspend disbelief.  The baddies were spooky, evocative of the mysterious men in black characters traveling in threes that people into government/alien conspiracy claim really do exist in our world. The music was so well applied that I barely noticed it (as great soundtracks should be) as it wove its way though the visuals, underscoring the mood. I was floored when Mr. Smith (a baddie) commented about humans not fitting into their environment, being a cancer on the planet.  I've believed this for years.  Did the writers of this movie read my mind? And, how could I not comment specifically on Keanu Reeves' performance. I've enjoyed his work for quite some time.  In this movie, as in others, he is excellent at playing confused, misplaced and, in the end, victorious characters.  As Neo he struggles well with accepting his reality and his place in the scheme of things.  I'd give his performance in this, on a scale of one to ten (10 being the best), about an 8 1/2. Lawrence Fishburn was enthralling as the rather somber, patient, nurturing mentor, Morpheus.  Carrie-Anne Moss was wonderful as Trinity.  The rest of the supporting cast rounded out the film with style. ""The Matrix"" reminded me of other films I enjoyed: ""Johnny Mnemonic"" (in which the main character was also 'plugged-in') and ""Dark City"". I truly enjoyed this movie, and when it's available on video I'll add it to my very selective collection of special movies to enjoy over and over. What is real and what is imagined?  Maybe this review only exists in my mind.  Maybe this movie is only a construct of my warped fantasies.  If that's the case, I invite you in to share it.",0.0
2571,"Ted Logan knows kung fu?; When Ted, sorry, NEO, and Morpheus sit down in a white backdrop and Fishburne asks, ""What is the 'Matrix,' you have undoubtedly witnessed one of the worst scenes ever in cinematic history. THE MATRIX is very betraying unto itself, for what good is kung fu if it is not blended in with what also has made the BUFFY THE VAMPIRE SLAYER television series so great? THE MATRIX needed kung fu and sex to blend in with what already was boring. The special effects and Hugo Weaving are great, but everything else lacks. What is the Matrix? A computer hacker is about to find out the hard way. Bad, bad, bad acting, almost as terrible as BLADE RUNNER. What a waste of special effects, though, since the camera trick was very revolutionary for its time. Oh well. Science fiction deserves better than THE MATRIX, for an entire movie with guns and kung fu should have been far more fun than becoming downright serious in its lunacy. Boring.",0.0
48385,"US-and-A ------- Light, Unique, and Hilarious; Before I watched 'Borat: Cultural Learning of America for Make Benefit Glorious Nation of Kazakhstan' (I don't know why the title is so damned long), I expected it'll be similar to his previous movie as Ali G. It however turned up to be very enjoyable and exceeding my expectation. I could feel that the audiences were also enjoying the ride and picking up all the jokes easily. When the movie started, I was rather worried as I saw its format. It is using a classic-film format, in which you normally find on the 70's movies. Surprisingly enough, I was wrong again as the format itself became a really good selling-point. Together with the comedy itself, Borat has occupied my mind for few days - trying to figure out how could a person have those ideas. Simply put, this is a unique movie offering a different perspective to the audiences. Story-wise, you shouldn't expect too much as well as the usual aspects from a movie (e.g. sound or graphic effect), but if you'd like a one-and-a-half hour non-stop good laugh, this is the perfect course for you. The story line goes as following: Suggested by the title, Borat is the representative of Kazakhstan with a mission to learn any cultural aspects of America where they are to be implemented in Kazakhstan. The movie therefore covers Borat's journey in learning the American culture while chasing his first-sight love - Pamela Anderson.",0.0
296,"I may have to just get used to Tarantino before I like this movie as much as others; I just figured before a couple of days ago I have never seen a Tarantino movie. So on a whim I decided to watch this without really knowing too much about the way he makes movies. All I knew aside from it's critical reputation is that it wasn't linear and it's ultra-violent. The movie is 4 stories with connecting characters and the theme of crime all throughout. I'd say there are memorable scenes in each story (such as the introductory scene to one of them with Christopher Walken, that was the perfect blend of leaving an impact in mere minutes with a perfect blend of awkward writing with the most awkward mainstream actor ever) and they do have nods such as the violence is something I'd see out of a Hong Kong action movie around the same time, the structure is very... French New Wave and the writing is clever enough to write dialogue pointless to the plot (or... almost everything really) but establishes character. If anything I don't like the comedy, I know it's meant to be black comedy but I never really laughed, I also find the establishing character dialogue to just be done a little too much in this movie. While I enjoyed it, and I hope nobody goes nuts - I didn't really enjoy it as much as others have.",0.0
