cosine_tag_review_mean,cosine_tag_review_max,cosine_title,cosine_reviews,cosine_tag,overall_mae,ci +/-,tagdl_diff,p-value
True,True,False,False,False,0.8368687125085144,0.023792117728326234,0.011199867244902646,0.04874071978764111
True,True,True,False,False,0.8370502313095006,0.01993716783064947,0.010985394159901343,0.03635319340050431
True,False,False,False,False,0.8372272038692286,0.021444211373252142,0.010776292674880531,0.044868749140719845
True,False,True,False,False,0.8377311864421184,0.02187910606068888,0.010180813327246682,0.05570350797561825
False,True,True,False,False,0.8381047100072523,0.023417244010039973,0.009739477493715003,0.07100939838060752
True,True,True,False,True,0.8382219873840073,0.021815410082698827,0.009600908702731104,0.06559112581439275
False,True,False,False,False,0.8391209987387283,0.024300433865872884,0.008538684086600117,0.10256480146533163
True,False,True,False,True,0.8398879603638563,0.018112197157225784,0.007632482497976465,0.09014888897001587
True,True,False,False,True,0.8401267976739651,0.020433563578677982,0.007350284871977724,0.11223942961575725
True,True,True,True,False,0.8403951569304489,0.023118689600972853,0.0070332056641271125,0.13914409284753895
True,False,True,True,False,0.8405215738694436,0.020863756133244538,0.006883838046253343,0.12978404866545173
True,False,False,False,True,0.8408482334841475,0.022286890936041304,0.006497874196061412,0.15234247851267077
False,True,True,False,True,0.8408574149267135,0.020939084348279402,0.006487025885576796,0.1440320106788795
True,True,False,True,False,0.8410162205785182,0.022419616273316567,0.006299389465144654,0.16048874934987772
False,True,False,False,True,0.8416258749340724,0.025066655675340832,0.005579053887178427,0.20552384796543438
False,True,True,True,False,0.8423397416977325,0.022353463870683044,0.00473558639923668,0.22604567159451422
False,False,True,False,False,0.8425760880437683,0.02066549721389932,0.004456331965604167,0.22919578935017065
True,True,False,True,True,0.8433001879175137,0.024775220694453592,0.0036007735720524916,0.29541109501648355
True,False,True,True,True,0.843411857421138,0.02251199273219351,0.0034688307495308883,0.2909997946174493
True,False,False,True,False,0.8438655502861874,0.022881780286358344,0.0029327710803312298,0.3222847843883221
False,False,False,False,False,0.8439064884779806,0.02178062896379518,0.0028844006622778234,0.3200482966001287
False,True,True,True,True,0.8439812954378825,0.024709930449640427,0.0027960126860320633,0.3376493537918138
False,True,False,True,False,0.8440259665378218,0.023357831918705885,0.002743231659701273,0.33499906901982046
True,True,True,True,True,0.8440677951188764,0.02170353890792054,0.002693809204444482,0.33077829976940176
True,False,False,True,True,0.8443469764296472,0.022147498691794554,0.0023639432254363817,0.3520639156126488
False,False,True,False,True,0.8451821927754706,0.02124308302052158,0.0013770954424025521,0.41017138021347976
False,True,False,True,True,0.8460168101223907,0.023275089855138598,0.00039095540502369456,0.4756700511799027
False,False,True,True,False,0.8479795312571436,0.019455838435048056,-0.0019280928394584875,0.6307760841471326
False,False,False,False,True,0.8482944538828627,0.02229078148989916,-0.0023001888796906583,0.6436040880741871
False,False,False,True,False,0.8487473484665349,0.022653591877199286,-0.002835305341526992,0.6732279913918487
False,False,True,True,True,0.8492965553520175,0.02143325565729759,-0.003484219362517756,0.7154489671974285
False,False,False,True,True,0.8512714265016562,0.023049706493456834,-0.005817623426679218,0.8167693121347945
